Particle Diameter (mm),Cumulative Percent by Mass
0.003380248352585,5.17682028091534
0.003794441295246,6.09401642297017
0.00451292465605,7.2776812909626
0.0053674729594,8.4354410787182
0.006383732464611,9.71063723021409
0.007592176031253,11.2086170717467
0.009029116435596,12.9190185712213
0.010737989052827,14.65100763756
0.012769865152208,16.6247774527757
0.015185144104918,19.116648872728
0.018057261192048,21.6025237463292
0.02136872870221,24.2948870610798
0.025044648784976,27.0334149904509
0.029494364580794,29.8741284657866
0.033098954040892,32.8807708128992
0.037145453042138,35.6150479687852
0.042499223173782,38.2089250804786
0.048155933590968,41.1181012805662
0.054042887826956,43.8970091889745
0.060942690951498,46.6685810695819
0.068720899309714,49.7075873197331
0.077869796000019,52.4248808897808
0.087812953450079,55.0874612212659
0.098550426314892,57.6779504306929
0.112206724061769,60.6265864834011
0.127759476997186,63.3415731364729
0.145465039759366,66.2037864789212
0.168035843630453,69.131911259623
0.19411176280305,71.9484525505802
0.222083419318477,74.7285290349147
0.259044020108005,77.2129935126797
0.30803890584547,79.7150699642405
0.366294873918129,82.3305792671413
0.435590409221425,84.5720349114709
0.518029785192508,86.3256115446736
0.616085725364177,87.9108051563369
0.732705596850257,89.4631856663669
0.871382022892136,91.1718601604924
1.03629488039837,92.9535006306183
1.23245384670266,94.5235829454768
